product_id,id_web,sku,price,total_sales,ca,price_zscore,premium
4074,15941,15941,12.7,4.0,50.8,-0.7103248559412009,False
4056,16029,16029,12.7,10.0,127.0,-0.7103248559412009,False
5960,15892,15892,12.7,0.0,0.0,-0.7103248559412009,False
5694,14661,14661,12.7,5.0,63.5,-0.7103248559412009,False
4726,14950,14950,12.7,4.0,50.8,-0.7103248559412009,False
5395,15095,15095,12.7,0.0,0.0,-0.7103248559412009,False
6093,15487,15487,12.6,1.0,12.6,-0.7139173754038346,False
4106,15787,15787,12.6,6.0,75.6,-0.7139173754038346,False
4095,16120,16120,12.6,4.0,50.4,-0.7139173754038346,False
4227,15261,15261,12.6,6.0,75.6,-0.7139173754038346,False
4719,16527,16527,12.5,15.0,187.5,-0.7175098948664685,False
5796,13895,13895,12.5,0.0,0.0,-0.7175098948664685,False
4938,13379,13379,12.5,0.0,0.0,-0.7175098948664685,False
4788,15731,15731,12.3,3.0,36.900000000000006,-0.7246949337917363,False
4668,14657,14657,12.3,3.0,36.900000000000006,-0.7246949337917363,False
4260,14945,14945,12.2,2.0,24.4,-0.7282874532543703,False
4964,16515,16515,12.1,6.0,72.6,-0.731879972717004,False
4190,16191,16191,12.1,5.0,60.5,-0.731879972717004,False
4786,15881,15881,12.1,0.0,0.0,-0.731879972717004,False
4795,3568,3568,12.0,10.0,120.0,-0.735472492179638,False
5525,14819,14819,12.0,0.0,0.0,-0.735472492179638,False
4165,15075,15075,12.0,3.0,36.0,-0.735472492179638,False
4157,14751,14751,12.0,0.0,0.0,-0.735472492179638,False
4753,15429,15429,12.0,7.0,84.0,-0.735472492179638,False
4749,15315,15315,11.9,0.0,0.0,-0.7390650116422719,False
4181,16560,16560,11.9,9.0,107.1,-0.7390650116422719,False
4620,15850,15850,11.9,6.0,71.4,-0.7390650116422719,False
4060,16498,16498,11.9,9.0,107.1,-0.7390650116422719,False
4062,16320,16320,11.9,3.0,35.7,-0.7390650116422719,False
4609,15145,15145,11.8,0.0,0.0,-0.7426575311049057,False
4220,15758,15758,11.6,12.0,139.2,-0.7498425700301734,False
4281,16330,16330,11.6,0.0,0.0,-0.7498425700301734,False
4161,15375,15375,11.6,0.0,0.0,-0.7498425700301734,False
5481,15138,15138,11.5,0.0,0.0,-0.7534350894928074,False
4178,16160,16160,11.5,17.0,195.5,-0.7534350894928074,False
4962,15737,15737,11.3,14.0,158.20000000000002,-0.7606201284180751,False
4204,15414,15414,11.3,3.0,33.900000000000006,-0.7606201284180751,False
4790,15732,15732,11.1,0.0,0.0,-0.7678051673433428,False
4232,16269,16269,11.1,2.0,22.2,-0.7678051673433428,False
5379,14561,14561,11.1,0.0,0.0,-0.7678051673433428,False
4789,15316,15316,11.1,2.0,22.2,-0.7678051673433428,False
4231,15461,15461,11.1,1.0,11.1,-0.7678051673433428,False
4936,15106,15106,11.1,11.0,122.1,-0.7678051673433428,False
4715,15196,15196,11.1,0.0,0.0,-0.7678051673433428,False
5737,15369,15369,11.0,9.0,99.0,-0.7713976868059768,False
6047,16264,16264,10.9,38.0,414.2,-0.7749902062686107,False
4307,15946,15946,10.9,0.0,0.0,-0.7749902062686107,False
4194,15441,15441,10.8,9.0,97.2,-0.7785827257312445,False
4163,15482,15482,10.8,3.0,32.400000000000006,-0.7785827257312445,False
5707,13557,13557,10.8,10.0,108.0,-0.7785827257312445,False
4675,13762,13762,10.7,0.0,0.0,-0.7821752451938785,False
5739,16003,16003,10.7,1.0,10.7,-0.7821752451938785,False
4306,15949,15949,10.7,1.0,10.7,-0.7821752451938785,False
5394,15462,15462,10.7,0.0,0.0,-0.7821752451938785,False
6127,14573,14573,10.6,0.0,0.0,-0.7857677646565122,False
6128,14569,14569,10.6,3.0,31.8,-0.7857677646565122,False
5480,16306,16306,10.4,1.0,10.4,-0.7929528035817801,False
6280,15654,15654,10.4,0.0,0.0,-0.7929528035817801,False
5629,8365,8365,10.3,0.0,0.0,-0.7965453230444139,False
5706,15674,15674,10.3,0.0,0.0,-0.7965453230444139,False
5479,16305,16305,10.2,3.0,30.6,-0.8001378425070479,False
4269,16244,16244,10.2,0.0,0.0,-0.8001378425070479,False
4785,15448,15448,10.1,1.0,10.1,-0.8037303619696816,False
5753,16147,16147,10.1,4.0,40.4,-0.8037303619696816,False
4937,16283,16283,9.9,4.0,39.6,-0.8109154008949495,False
4203,15415,15415,9.9,6.0,59.400000000000006,-0.8109154008949495,False
4261,15662,15662,9.9,1.0,9.9,-0.8109154008949495,False
6617,16031,16031,9.9,6.0,59.400000000000006,-0.8109154008949495,False
4867,16148,16148,9.9,1.0,9.9,-0.8109154008949495,False
4862,16047,16047,9.9,12.0,118.8,-0.8109154008949495,False
4154,15141,15141,9.8,18.0,176.4,-0.8145079203575833,False
